keyword,cluster,target_url,action,note
"xây nhà trọn gói tphcm","intent:tron-goi","/dich-vu/xay-nha-tron-goi","exists-fold","Intent trọn gói city-wide — gộp money page, không URL mới"
"xây nhà trọn gói giá rẻ tphcm","intent:gia-re","/tin-tuc/xay-nha-gia-re-tphcm","exists-fold","Intent giá rẻ city-wide — gộp money page, không URL mới"
"xây nhà trọn gói giá rẻ","intent:gia-re","/tin-tuc/xay-nha-gia-re-tphcm","exists-fold","Intent giá rẻ city-wide — gộp money page, không URL mới"
"giá xây nhà trọn gói tphcm","intent:tron-goi","/dich-vu/xay-nha-tron-goi","exists-fold","Intent trọn gói city-wide — gộp money page, không URL mới"
"báo giá xây nhà trọn gói tphcm","intent:bao-gia","/tin-tuc/bao-gia-xay-nha-tron-goi-moi-nhat-tphcm","exists-fold","Intent báo giá city-wide — gộp money page, không URL mới"
"đơn giá xây nhà trọn gói tphcm","intent:don-gia","/tin-tuc/don-gia-xay-nha-tphcm","exists-fold","Intent đơn giá city-wide — gộp money page, không URL mới"
"chi phí xây nhà trọn gói tphcm","intent:chi-phi","/tin-tuc/chi-phi-xay-nha-tphcm","exists-fold","Intent chi phí city-wide — gộp money page, không URL mới"
"bảng giá xây nhà trọn gói tphcm","intent:bao-gia","/tin-tuc/bao-gia-xay-nha-tron-goi-moi-nhat-tphcm","exists-fold","Intent báo giá city-wide — gộp money page, không URL mới"
"giá xây nhà trọn gói 2026 tphcm","intent:tron-goi","/dich-vu/xay-nha-tron-goi","exists-fold","Intent trọn gói city-wide — gộp money page, không URL mới"
"báo giá xây nhà trọn gói 2026","intent:bao-gia","/tin-tuc/bao-gia-xay-nha-tron-goi-moi-nhat-tphcm","exists-fold","Intent báo giá city-wide — gộp money page, không URL mới"
"xây nhà trọn gói bao nhiêu 1m2 tphcm","intent:don-gia","/tin-tuc/don-gia-xay-nha-tphcm","exists-fold","Intent đơn giá city-wide — gộp money page, không URL mới"
